0
 Johnny Hodges
Gabi Coutinho
Three Earbenders
 Eddy Duchin
Bert Lahr
 Judy Garland
 Ray Bolger
 Buddy Ebsen
Lata Mangeshkar
 G. M. Durrani
Bessie Smith
Sonny Davis
Don Redman & His Orchestra
Zeenat Begum
Kurt Weill
 Anne Jeffreys
 Brian Sullivan
 Maurice Abravanel
 Gundula Janowitz
 Fritz Wunderlich
 Werner Krenn
 Dietrich Fischer-Dieskau
 Walter Berry
 Christa Ludwig
 Herbert von Karajan
 Berliner Philharmoniker Orchestra
Benny Goodman Sextet
 Benny Goodman
 Charlie Christian
Gion
Suraiya
Bimal Bhushan
Harry Richman
Andy Kirk & His 12 clouds of Joy
 Andy Kirk
Κώστας Ρούκουνας
Kay Kyser & His Orchestra
 Kay Kyser
Alberta Hunter
Charles Mingus
Antonín Dvořák
 Franz Waxman
 Symphony Orchestra
Dhirendra Nath Das
Kanak Das Biswas
 Pablo Casals
 Perpignan Festival Orchestra
Earl Burtnett
Leroy Carr
Lon Hoyt
 Company
 Jascha Heifetz
 Brooks Smith
The North Carolina Ramblers
 Charlie Poole
紫薇
The Almanac Singers
Fletcher Henderson
Shanta Hublikar
Fats Waller
 Michael Tilson Thomas
The Golden Gate Orchestra
Smt. Ghosh
Wilmoth Houdini
Andrés Segovia
 Johann Sebastian Bach
Sophie Tucker
 Miff Mole
Ethel Merman
 Ray Middleton
Raquel Meller
Peter Erasmus Lange-Müller
 The Orchestra of Royal Danish Theatre
 Johann Hye Knudsen
Bando Da Lua
Reverend J.M. Gates
Stanley Kenton & His Orchestra
ANTONIS NTALGKAS
The Big Aces
Robert David Hall
Patrick Barnitt
Rajkumari
Jascha Heifetz
 Leopold Godowsky
 Unknown Artist
Frankie Newton
The Ames Brothers
Nat Shilkret & His Orchestra
 Nat Shilkret
Félix Mayol
Kjeld Bonfils
Layla Mourad
Francis Poulenc
Les Brown & His Orchestra
Arun Kumar
 George Szell
 Members Of The Cleveland Orchestra
Pankaj Mullick
Jazz4Fun
Rosemary Clooney
Shireen Bano
 Ranjith Govind
The Three Peppers
A. R. Oza
 Amirbai Karnataki
Billy Eckstine & His Orchestra
 Billy Eckstine
Anonymous\xa0
C. Honnappa Bhagavathar
 Mukesh
Udit Narayan
Carl Verheyen
Mushy Peas
Charlie Barnet
George Gershwin
 Morton Gould and His Orchestra
 Morton Gould
 Morton Gould Orchestra
Pat Flowers
Ermelinda Vitória
 Mario Castelnuovo-Tedesco
Dizzy Gillespie
 Frank Paparelli
Mildred Bailey & Her Orchestra
 Mildred Bailey
Harry James
Woody Herman
Jack Teagarden & His Band
 Norma Teagarden
Georgie Auld
Fréhel
 Andrés Segovia
Marcel Pagnol
 Charpin
 Alida Rouffe
 Milly Mathis
Isaura Garcia
Maurice Chevalier
Monique Nikkole
The Georgians
John Harris
Franz Schubert
Giacomo Puccini
 Hilde Gueden
 London Symphony Orchestra
 Josef Krips
 Daniel Varsano
Ashok Kumar
 Devika Rani
Motilal
 Maya Banerjee
 Hans Pfitzner
Shorty Bralik
 ParkPlace Swagg
Augie Goupil & His Royal Tahitians
 Augie Goupil
Leardy & Verly
Joe Venuti
 Soulima Stravinsky
Saltoy Maria
Prem Adib
Ninon Vallin
 Georges Thill
 Germaine Féraldy
" ""Chœur et Orchestre de lOpéra de Paris"""
 Elie Cohen
אומן האור ומלך הסבון
Kokila Joshi
 Pinakin Shah
Madhav
Ouvrard
Freddy Martin
Salif Keita
Robert Johnson
Shungi Music Crew
Franklin Delano Roosevelt
 Isham Jones
Richard Himber and his Orchestra
 Joey Nash
Devika Rani
 Ashok Kumar
Chor des Frankfurter Rundfunks
 Orchester des Frankfurter Rundfunks
 Winfried Zillig
 Ilse Zeyen Helga
 Heinrich Bensing
 Frithjof Sentpaul
 Sanders Schier
 Liane Finus
Pranlal Vyas
Sonny Boy Williamson I
Kaushalya
 Ishwarlal
 Khemchand Prakash
 S. D. Batish
Lucia Belen
Manna Dey
Louis Armstrong
Django Reinhardt
The Nite Owls
The Monroe Brothers
Marika Papagkika
Charlie Poole & The North California Ramblers
Arletty
Rascal Martinez
Stéphane Grappelli
 Django Reinhardt
 Quintette du Hot Club de France
Future Rapper
Raúl Abril y Su Orquesta
Various Artists
Mina
Baburao Pendharkar
Charles Gounod
 Bidu Sayão
 Fausto Cleva
 Metropolitan Opera Orchestra
 Gino Marinuzzi
 Bruno Erminero
 Carlo Tagliabue
" ""Coro dellEIAR di Torino"""
 Dario Caselli
 Ebe Stignani
" ""Orchestra Sinfonica dellEIAR di Torino"""
Parul Ghosh
Studio 7
Dixieland Jug Blowers
Luis Fernando Ramirez Zuluaga
Pyotr Ilyich Tchaikovsky
 Vása Prihoda
 Charles Cerné
Muggsy Spanier & His Orchestra
 Muggsy Spanier
Meena Kapoor
Los Aymaras
Johnny Green
 MGM Studio Orchestra
The 1937 Flood
Carmen Miranda
Roza Eskenazi
 Bill Monroe
Ghantasala
崔萍
Berthe Sylva
Ratanbai
Edward Elgar
 Daniel Barenboim
 London Philharmonic Orchestra
Pt. Gobindram
Anker Skjoldborgs Danseorkester
Hemant Kumar
 Bela
 Abha Mukherjee
Dinkar Dhere
Gyanendra Prasad Goswami
Ikhlaq Ahmed
Doris Day
 Harry James
 Eugene Ormandy
 Philadelphia Orchestra
Bunny Berigan
 Red McKenzie
Chick Webb
"""Scarlet DCarpio"""
Frank Sinatra
 Robert Lortat
Georges Milton
 William Steinberg
 RCA Victor Symphony Orchestra
Dilú Melo
Eddy Howard & His Orchestra
 Eddy Howard
Brian Stokes Mitchell
Smith Ballew
Lionel Hampton Orchestra
Cab Calloway & His Orchestra
Orson Welles
 Joseph Cotton
 Hiram Sherman
 Frank Readick
 Eustace Wyatt
 Brenda Forbes
 Arthur Anderson
 Anna Stafford
 Alice Frost
 Alfred Shirley
Kusum Kumari
R. A. Dvorský
 Melody Boys
Leo Mathisen
Francisco Canaro Jazz Band
K Mullick
Alcoholics Anonymous
Z.Kwartin
Jagmohan Sursagar
Jimmy Rushing
 Count Basie
Nelson Gonçalves
Aaron Copland
Erroll Garner
Hi-Flyers
John Kirby
Phil Napoleon And The Memphis Five
Biswaroop Ghose Dastidar
Blind Willie McTell
Kamala
Clarence Williams
Michelle Montanari Con Orchestra Angelini
Crowder Brother
George Olsen
TIN TAN Y MARCELO
Ernest Bloch
Gauhar Sultana
Asha Bhosle
Benny Meroff & His Orchestra
 Bix Beiderbecke
Rajé Shwari
 T. R. Mahalingam
 Woody Herman Orchestra
 New York Philharmonic Orchestra
 New York Schola Cantorum
 Elisabeth Rethberg
 Marion Telva
 Giovanni Martinelli
 Ezio Pinza
Leslie Fyson
 Benay Venuta
 Stanley Black
 Annie Get Your Gun 1946 Original Broadway Male Chorus
"""Flo Sandons"""
 Susana del Carril
 MGM Studio Chorus
G. M. Durrani
Blueshakers
Shamim Akhtar
 Giuseppe Antonicelli
